Date,Location,18-24,25-44,45-64,65+,U18,Female,Male,Transgender,DNot SpecifiedA,DSH,DSH ,SA Only,SA/DSH,SI Only,SI/DSH,SI/SA,SI/SA/DSH,Crime,Recorded Crimes,Month,Unemploy.Gender,Unemploy.u25,Unemploy.25+,Unemploy.allages,Gender,Age,Category,Rate
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, False imprisonment,80,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Abduction of person under  years of age,25,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Human trafficking offences,16,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Robbery extortion and hijacking offences,2796,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Robbery of an establishment or institution,988,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Robbery of cash or goods in transit,39,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Robbery from the person,1678,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Blackmail or extortion,25,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Carjacking hijacking/unlawful seizure of aircraft/vessel,66,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Burglary and related offences,26297,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Aggravated burglary,299,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Burglary (not aggravated),25316,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Possession of an article (with intent to burgle steal demand),682,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Theft and related offences,78428,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Theft/taking of vehicle and related offences,7358,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Theft from person,6467,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Theft from shop,20553,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Other thefts handling stolen property,44050,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Fraud deception and related offences,4788,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Controlled drug offences,15325,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Importation of drugs,44,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Cultivation or manufacture of drugs,390,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Possession of drugs for sale or supply,3241,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Possession of drugs for persoNot Specifiedl use,11160,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Other drug offences,490,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Weapons and Explosives Offences,2738,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Explosives chemical weapons offences,59,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Discharging a firearm,162,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Possession of a firearm,193,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Offensive weapons offences (n.e.c.),2178,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Fireworks offences,146,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Damage to property and to the environment,28698,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Arson,1914,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, CrimiNot Specifiedl damage (not arson),26567,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Litter offences,217,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Public order and other social code offences,36394,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Disorderly conduct,30810,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Trespass offences,2941,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Liquor licensing offences,1378,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Prostitution offences,119,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Regulated betting/money collection/trading offences,320,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Social code offences (n.e.c.),826,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Offences against government justice procedures and organisation of crime,9168,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Offences against government and its agents,278,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Organisation of crime and conspiracy to commit crime,4,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Perverting the course of justice,62,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Offences while in custody breach of court orders,8824,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Homicide offences,95,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Murder,51,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Manslaughter,7,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Infanticide,0,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dangerous driving leading to death,37,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Sexual offences,1908,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Rape of a male or female,392,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Defilement of a boy or girl less than  years old,87,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Sexual offence involving mentally impaired person,12,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Aggravated sexual assault,9,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Sexual assault (not aggravated),1281,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Other sexual offences,127,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Attempts/threats to murder assaults harassments and related offences,14365,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Murder-attempt,13,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Murder-threat,334,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Harassment and related offences,1504,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Assault causing harm poisoning,3071,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Other assault,9443,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dangerous or negligent acts,7495,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dangerous driving causing serious bodily harm,12,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Driving/in charge of a vehicle while over legal alcohol limit,6752,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Driving/in charge of a vehicle under the influence of drugs,265,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Endangerment with potential for serious harm/death,69,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Abandoning a child child neglect and cruelty,226,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Unseaworthy/dangerous use of boat or ship,2,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, False alarm/interference with aircraft or air transport facilities,4,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Endangering traffic offences,165,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, KidNot Specifiedpping and related offences,121,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, False imprisonment,80,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Abduction of person under  years of age,25,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Human trafficking offences,16,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Robbery extortion and hijacking offences,2796,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Robbery of an establishment or institution,988,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Robbery of cash or goods in transit,39,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Robbery from the person,1678,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Blackmail or extortion,25,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Carjacking hijacking/unlawful seizure of aircraft/vessel,66,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Burglary and related offences,26297,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Aggravated burglary,299,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Burglary (not aggravated),25316,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Possession of an article (with intent to burgle steal demand),682,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Theft and related offences,78428,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Theft/taking of vehicle and related offences,7358,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Theft from person,6467,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Theft from shop,20553,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Other thefts handling stolen property,44050,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Fraud deception and related offences,4788,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Controlled drug offences,15325,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Importation of drugs,44,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Cultivation or manufacture of drugs,390,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Possession of drugs for sale or supply,3241,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Possession of drugs for persoNot Specifiedl use,11160,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Other drug offences,490,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Weapons and Explosives Offences,2738,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Explosives chemical weapons offences,59,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Discharging a firearm,162,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Possession of a firearm,193,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Offensive weapons offences (n.e.c.),2178,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Fireworks offences,146,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Damage to property and to the environment,28698,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Arson,1914,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, CrimiNot Specifiedl damage (not arson),26567,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Litter offences,217,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Public order and other social code offences,36394,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Disorderly conduct,30810,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Trespass offences,2941,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Liquor licensing offences,1378,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Prostitution offences,119,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Regulated betting/money collection/trading offences,320,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Social code offences (n.e.c.),826,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Offences against government justice procedures and organisation of crime,9168,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Offences against government and its agents,278,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Organisation of crime and conspiracy to commit crime,4,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Perverting the course of justice,62,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Offences while in custody breach of court orders,8824,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Homicide offences,95,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
